transaction_id,product_id,customer_id,Ano,Mês,Dia,pedido_online,status_pedido,marca,linha_produto,classe_produto,tamanho_produto,preco_lista,custo_padrao
1,2,2950,2017,fevereiro,25,false,Approved,Solex,Standard,medium,medium,7149,5362
2,3,3120,2017,maio,21,true,Approved,Trek Bicycles,Standard,medium,large,209147,38892
3,37,402,2017,outubro,16,false,Approved,OHM Cycles,Standard,low,medium,179343,24882
4,88,3135,2017,agosto,31,false,Approved,Norco Bicycles,Standard,medium,medium,119846,38110
5,78,787,2017,outubro,1,true,Approved,Giant Bicycles,Standard,medium,large,17653,70948
6,25,2339,2017,março,8,true,Approved,Giant Bicycles,Road,medium,medium,153899,82965
7,22,1542,2017,abril,21,true,Approved,WeareA2B,Standard,medium,medium,6034,4526
8,15,2459,2017,julho,15,false,Approved,WeareA2B,Standard,medium,medium,129284,1344
9,67,1305,2017,agosto,10,false,Approved,Solex,Standard,medium,large,107123,38074
10,12,3262,2017,agosto,30,true,Approved,WeareA2B,Standard,medium,medium,123115,16160
11,5,1986,2017,janeiro,17,false,Approved,Trek Bicycles,Mountain,low,medium,57464,45971
12,61,2783,2017,janeiro,5,true,Approved,OHM Cycles,Standard,low,medium,7116,5693
13,35,1243,2017,fevereiro,26,true,Approved,Trek Bicycles,Standard,low,medium,105751,15440
15,12,247,2017,junho,11,false,Approved,Giant Bicycles,Standard,medium,large,17653,70948
16,3,2961,2017,outubro,10,false,Approved,Trek Bicycles,Standard,medium,large,209147,38892
17,79,2426,2017,abril,3,false,Approved,Norco Bicycles,Standard,medium,medium,155558,81801
19,54,2268,2017,abril,6,true,Approved,WeareA2B,Standard,medium,medium,129284,1344
20,25,3002,2017,janeiro,28,true,Approved,Giant Bicycles,Road,medium,medium,153899,82965
21,27,1582,2017,outubro,9,false,Approved,Trek Bicycles,Standard,medium,medium,49953,38872
22,37,595,2017,junho,29,true,Approved,OHM Cycles,Standard,low,medium,179343,24882
23,37,2001,2017,abril,8,true,Approved,OHM Cycles,Standard,low,medium,179343,24882
24,82,515,2017,outubro,18,false,Approved,Giant Bicycles,Road,medium,medium,153899,82965
25,89,2822,2017,junho,11,false,Approved,WeareA2B,Touring,medium,large,136299,5774
26,64,2596,2017,janeiro,10,false,Approved,Trek Bicycles,Standard,medium,large,146944,59655
27,64,2666,2017,abril,11,true,Approved,Trek Bicycles,Standard,medium,large,146944,59655
28,19,76,2017,dezembro,23,false,Approved,Trek Bicycles,Mountain,low,medium,57464,45971
29,72,3368,2017,outubro,13,true,Approved,Norco Bicycles,Standard,medium,medium,3604,27030
30,91,1173,2017,março,15,false,Approved,WeareA2B,Standard,low,medium,64231,51385
31,88,2810,2017,setembro,5,true,Approved,Norco Bicycles,Standard,medium,medium,119846,38110
32,1,3214,2017,fevereiro,18,false,Approved,Giant Bicycles,Standard,medium,medium,14035,95482
33,25,1272,2017,março,20,false,Approved,Giant Bicycles,Road,medium,medium,153899,82965
35,0,2171,2017,agosto,20,false,Approved,Norco Bicycles,Road,medium,medium,54405,37684
38,2,2916,2017,dezembro,6,false,Approved,Solex,Standard,medium,medium,7149,5362
39,12,427,2017,setembro,12,false,Approved,WeareA2B,Standard,medium,medium,123115,16160
40,0,2448,2017,novembro,28,true,Approved,Norco Bicycles,Road,medium,medium,54405,37684
41,44,2570,2017,maio,8,true,Approved,WeareA2B,Standard,medium,medium,176964,10876
42,79,3398,2017,maio,14,false,Approved,Solex,Touring,medium,large,208394,67503
43,76,488,2017,março,17,false,Cancelled,WeareA2B,Standard,low,medium,64231,51385
44,46,165,2017,dezembro,22,false,Approved,Solex,Standard,low,medium,128985,7451
45,55,2787,2017,junho,7,true,Approved,Trek Bicycles,Road,medium,large,189419,59876
46,66,3053,2017,junho,20,false,Approved,Solex,Standard,medium,medium,116389,58927
47,35,475,2017,maio,7,true,Approved,Trek Bicycles,Standard,low,medium,105751,15440
48,81,1305,2017,junho,10,true,Approved,Solex,Standard,medium,medium,115196,64949
49,86,1251,2017,junho,17,false,Approved,OHM Cycles,Standard,medium,medium,23563,12507
50,32,3103,2017,maio,10,false,Approved,Giant Bicycles,Standard,medium,medium,6427,21137
51,77,3108,2017,março,24,false,Approved,Norco Bicycles,Road,medium,large,124031,79510
52,96,857,2017,novembro,27,false,Approved,Giant Bicycles,Standard,medium,large,16353,99366
53,6,3455,2017,dezembro,21,true,Approved,OHM Cycles,Standard,high,medium,22788,13673
54,27,2549,2017,fevereiro,9,true,Approved,Trek Bicycles,Standard,medium,medium,49953,38872
55,0,3140,2017,setembro,18,false,Approved,Norco Bicycles,Standard,low,medium,36301,29041
57,94,2294,2017,agosto,30,true,Approved,Giant Bicycles,Standard,medium,large,16353,99366
58,91,1031,2017,novembro,14,false,Approved,Solex,Standard,medium,medium,10035,7526
59,93,993,2017,fevereiro,15,true,Approved,OHM Cycles,Standard,high,medium,145817,87490
61,0,1839,2017,fevereiro,24,false,Approved,OHM Cycles,Road,high,large,1201,721
63,35,368,2017,dezembro,17,false,Approved,Giant Bicycles,Standard,medium,medium,14035,95482
64,0,2000,2017,julho,8,false,Approved,Trek Bicycles,Standard,medium,medium,49953,38872
66,86,3315,2017,fevereiro,23,true,Approved,OHM Cycles,Standard,medium,medium,23563,12507
67,2,75,2017,julho,3,true,Approved,Solex,Standard,medium,medium,7149,5362
68,4,1498,2017,setembro,30,true,Approved,Giant Bicycles,Standard,high,medium,112913,67748
69,38,1612,2017,outubro,21,true,Approved,Trek Bicycles,Standard,medium,large,209147,38892
70,27,2192,2017,maio,6,true,Approved,Trek Bicycles,Standard,medium,medium,49953,38872
71,54,419,2017,janeiro,3,false,Approved,WeareA2B,Standard,medium,medium,129284,1344
72,77,3307,2017,maio,9,true,Approved,WeareA2B,Standard,medium,medium,176964,10876
73,22,2430,2017,julho,23,false,Approved,WeareA2B,Standard,medium,medium,6034,4526
74,56,1506,2017,janeiro,21,true,Approved,OHM Cycles,Standard,medium,medium,18386,13790
75,58,1346,2017,junho,20,false,Approved,OHM Cycles,Standard,medium,medium,91252,14140
76,22,927,2017,março,10,false,Approved,WeareA2B,Standard,medium,medium,6034,4526
77,50,763,2017,junho,2,false,Approved,WeareA2B,Standard,medium,small,17589,13192
78,80,2397,2017,novembro,7,false,Approved,OHM Cycles,Touring,low,medium,107307,93384
79,87,102,2017,setembro,12,true,Approved,Giant Bicycles,Standard,high,medium,1179,70740
80,15,2884,2017,dezembro,16,false,Approved,Norco Bicycles,Standard,low,medium,95874,74890
81,84,759,2017,outubro,7,true,Approved,Giant Bicycles,Road,medium,medium,7929,59468
82,21,773,2017,abril,27,true,Approved,Solex,Standard,medium,large,107123,38074
83,0,3398,2017,abril,1,true,Approved,OHM Cycles,Standard,medium,medium,23563,12507
